episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
64.0,9.0,21.65437788018433,21.65437788018433,217,5,5000,5000,False,217,1,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-30-42,1618425042,6.12704873085022,6.12704873085022,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,6.12704873085022,0,1,"[12.0, 19.0, 18.0, 37.0, 24.0, 14.0, 23.0, 63.0, 64.0, 13.0, 22.0, 15.0, 14.0, 28.0, 21.0, 10.0, 43.0, 39.0, 15.0, 10.0, 13.0, 58.0, 11.0, 14.0, 18.0, 35.0, 11.0, 14.0, 16.0, 27.0, 13.0, 17.0, 13.0, 22.0, 20.0, 27.0, 16.0, 21.0, 18.0, 20.0, 23.0, 29.0, 17.0, 19.0, 20.0, 21.0, 24.0, 11.0, 15.0, 19.0, 21.0, 21.0, 19.0, 12.0, 12.0, 11.0, 13.0, 23.0, 18.0, 15.0, 20.0, 17.0, 38.0, 17.0, 21.0, 26.0, 27.0, 13.0, 15.0, 12.0, 21.0, 21.0, 19.0, 10.0, 54.0, 28.0, 17.0, 21.0, 15.0, 16.0, 20.0, 27.0, 34.0, 14.0, 11.0, 15.0, 24.0, 33.0, 13.0, 14.0, 24.0, 17.0, 22.0, 45.0, 25.0, 16.0, 24.0, 55.0, 13.0, 21.0, 15.0, 21.0, 22.0, 15.0, 18.0, 12.0, 21.0, 36.0, 16.0, 16.0, 32.0, 31.0, 20.0, 11.0, 18.0, 10.0, 10.0, 17.0, 16.0, 49.0, 30.0, 10.0, 30.0, 25.0, 26.0, 21.0, 11.0, 58.0, 14.0, 47.0, 18.0, 23.0, 24.0, 24.0, 10.0, 16.0, 21.0, 10.0, 25.0, 21.0, 12.0, 19.0, 64.0, 23.0, 17.0, 26.0, 24.0, 17.0, 10.0, 19.0, 50.0, 14.0, 26.0, 25.0, 12.0, 32.0, 13.0, 16.0, 18.0, 29.0, 22.0, 20.0, 19.0, 43.0, 13.0, 15.0, 12.0, 42.0, 15.0, 18.0, 30.0, 12.0, 14.0, 14.0, 22.0, 30.0, 21.0, 41.0, 13.0, 30.0, 25.0, 13.0, 15.0, 14.0, 24.0, 11.0, 21.0, 36.0, 45.0, 27.0, 15.0, 12.0, 9.0, 20.0, 32.0, 31.0, 13.0, 23.0, 17.0, 36.0, 24.0, 34.0, 17.0, 20.0, 19.0, 10.0, 18.0, 12.0, 14.0, 11.0, 15.0, 13.0, 16.0, 20.0, 29.0, 14.0, 26.0]","[12, 19, 18, 37, 24, 14, 23, 63, 64, 13, 22, 15, 14, 28, 21, 10, 43, 39, 15, 10, 13, 58, 11, 14, 18, 35, 11, 14, 16, 27, 13, 17, 13, 22, 20, 27, 16, 21, 18, 20, 23, 29, 17, 19, 20, 21, 24, 11, 15, 19, 21, 21, 19, 12, 12, 11, 13, 23, 18, 15, 20, 17, 38, 17, 21, 26, 27, 13, 15, 12, 21, 21, 19, 10, 54, 28, 17, 21, 15, 16, 20, 27, 34, 14, 11, 15, 24, 33, 13, 14, 24, 17, 22, 45, 25, 16, 24, 55, 13, 21, 15, 21, 22, 15, 18, 12, 21, 36, 16, 16, 32, 31, 20, 11, 18, 10, 10, 17, 16, 49, 30, 10, 30, 25, 26, 21, 11, 58, 14, 47, 18, 23, 24, 24, 10, 16, 21, 10, 25, 21, 12, 19, 64, 23, 17, 26, 24, 17, 10, 19, 50, 14, 26, 25, 12, 32, 13, 16, 18, 29, 22, 20, 19, 43, 13, 15, 12, 42, 15, 18, 30, 12, 14, 14, 22, 30, 21, 41, 13, 30, 25, 13, 15, 14, 24, 11, 21, 36, 45, 27, 15, 12, 9, 20, 32, 31, 13, 23, 17, 36, 24, 34, 17, 20, 19, 10, 18, 12, 14, 11, 15, 13, 16, 20, 29, 14, 26]",0.4147973773289074,1.1499030014413458,0.14582015265651438,0.2456572398163799,0.0,419.262,11925.713,33.461,149427.273,5548.15,901.201,8.264,5000,5000,5000,5000,14.58888888888889,8.6,0.20000000298023224,4.999999873689376e-05,86.725044,-0.04451436,86.763176,0.14836563,0.031938616,0.66138613,0.0
124.0,9.0,40.467289719626166,40.467289719626166,107,5,10000,10000,False,324,2,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-30-48,1618425048,5.758095979690552,11.885144710540771,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,11.885144710540771,0,2,"[19.0, 14.0, 21.0, 23.0, 12.0, 15.0, 62.0, 49.0, 77.0, 23.0, 54.0, 59.0, 63.0, 116.0, 35.0, 69.0, 19.0, 55.0, 43.0, 23.0, 38.0, 22.0, 30.0, 31.0, 90.0, 86.0, 19.0, 77.0, 118.0, 107.0, 33.0, 41.0, 22.0, 26.0, 30.0, 38.0, 31.0, 56.0, 27.0, 18.0, 11.0, 14.0, 17.0, 9.0, 23.0, 26.0, 36.0, 46.0, 22.0, 44.0, 81.0, 19.0, 47.0, 20.0, 61.0, 54.0, 124.0, 18.0, 44.0, 101.0, 23.0, 14.0, 66.0, 36.0, 41.0, 33.0, 15.0, 45.0, 15.0, 25.0, 50.0, 27.0, 16.0, 34.0, 11.0, 40.0, 77.0, 13.0, 31.0, 42.0, 45.0, 52.0, 21.0, 11.0, 33.0, 26.0, 29.0, 47.0, 22.0, 85.0, 41.0, 15.0, 29.0, 30.0, 25.0, 39.0, 32.0, 21.0, 49.0, 77.0, 21.0, 63.0, 41.0, 20.0, 47.0, 31.0, 116.0]","[19, 14, 21, 23, 12, 15, 62, 49, 77, 23, 54, 59, 63, 116, 35, 69, 19, 55, 43, 23, 38, 22, 30, 31, 90, 86, 19, 77, 118, 107, 33, 41, 22, 26, 30, 38, 31, 56, 27, 18, 11, 14, 17, 9, 23, 26, 36, 46, 22, 44, 81, 19, 47, 20, 61, 54, 124, 18, 44, 101, 23, 14, 66, 36, 41, 33, 15, 45, 15, 25, 50, 27, 16, 34, 11, 40, 77, 13, 31, 42, 45, 52, 21, 11, 33, 26, 29, 47, 22, 85, 41, 15, 29, 30, 25, 39, 32, 21, 49, 77, 21, 63, 41, 20, 47, 31, 116]",0.38606148602720386,1.039662663314883,0.1462479245813552,0.2493818885287034,0.0,386.563,12934.489,17.71,282328.74,5390.167,927.615,8.407,10000,10000,10000,10000,14.6875,8.6,0.30000001192092896,4.999999873689376e-05,312.75052,-0.028359352,312.7734,0.10180744,0.018234627,0.6071345,0.0
302.0,11.0,69.62,69.62,38,5,15000,15000,False,362,3,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-30-54,1618425054,5.3605756759643555,17.245720386505127,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,17.245720386505127,0,3,"[26.0, 36.0, 46.0, 22.0, 44.0, 81.0, 19.0, 47.0, 20.0, 61.0, 54.0, 124.0, 18.0, 44.0, 101.0, 23.0, 14.0, 66.0, 36.0, 41.0, 33.0, 15.0, 45.0, 15.0, 25.0, 50.0, 27.0, 16.0, 34.0, 11.0, 40.0, 77.0, 13.0, 31.0, 42.0, 45.0, 52.0, 21.0, 11.0, 33.0, 26.0, 29.0, 47.0, 22.0, 85.0, 41.0, 15.0, 29.0, 30.0, 25.0, 39.0, 32.0, 21.0, 49.0, 77.0, 21.0, 63.0, 41.0, 20.0, 47.0, 31.0, 116.0, 131.0, 211.0, 187.0, 172.0, 259.0, 111.0, 97.0, 163.0, 191.0, 90.0, 204.0, 35.0, 32.0, 60.0, 38.0, 104.0, 36.0, 46.0, 87.0, 13.0, 111.0, 152.0, 176.0, 81.0, 96.0, 183.0, 163.0, 71.0, 114.0, 302.0, 37.0, 107.0, 134.0, 107.0, 136.0, 34.0, 31.0, 195.0]","[26, 36, 46, 22, 44, 81, 19, 47, 20, 61, 54, 124, 18, 44, 101, 23, 14, 66, 36, 41, 33, 15, 45, 15, 25, 50, 27, 16, 34, 11, 40, 77, 13, 31, 42, 45, 52, 21, 11, 33, 26, 29, 47, 22, 85, 41, 15, 29, 30, 25, 39, 32, 21, 49, 77, 21, 63, 41, 20, 47, 31, 116, 131, 211, 187, 172, 259, 111, 97, 163, 191, 90, 204, 35, 32, 60, 38, 104, 36, 46, 87, 13, 111, 152, 176, 81, 96, 183, 163, 71, 114, 302, 37, 107, 134, 107, 136, 34, 31, 195]",0.3763454379014695,1.0231688668804335,0.14614963312268675,0.2506513644075787,0.0,374.215,13361.297,12.547,398513.742,5217.945,958.232,7.846,15000,15000,15000,15000,14.225,8.6,0.30000001192092896,4.999999873689376e-05,638.42896,-0.019373057,638.44464,0.15973964,0.012263415,0.5646396,0.0
326.0,11.0,95.38,95.38,20,5,20000,20000,False,382,4,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-30-59,1618425059,5.5143585205078125,22.76007890701294,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,22.76007890701294,0,4,"[33.0, 15.0, 45.0, 15.0, 25.0, 50.0, 27.0, 16.0, 34.0, 11.0, 40.0, 77.0, 13.0, 31.0, 42.0, 45.0, 52.0, 21.0, 11.0, 33.0, 26.0, 29.0, 47.0, 22.0, 85.0, 41.0, 15.0, 29.0, 30.0, 25.0, 39.0, 32.0, 21.0, 49.0, 77.0, 21.0, 63.0, 41.0, 20.0, 47.0, 31.0, 116.0, 131.0, 211.0, 187.0, 172.0, 259.0, 111.0, 97.0, 163.0, 191.0, 90.0, 204.0, 35.0, 32.0, 60.0, 38.0, 104.0, 36.0, 46.0, 87.0, 13.0, 111.0, 152.0, 176.0, 81.0, 96.0, 183.0, 163.0, 71.0, 114.0, 302.0, 37.0, 107.0, 134.0, 107.0, 136.0, 34.0, 31.0, 195.0, 151.0, 174.0, 68.0, 157.0, 156.0, 163.0, 326.0, 130.0, 202.0, 302.0, 126.0, 98.0, 162.0, 185.0, 191.0, 239.0, 149.0, 137.0, 177.0, 206.0]","[33, 15, 45, 15, 25, 50, 27, 16, 34, 11, 40, 77, 13, 31, 42, 45, 52, 21, 11, 33, 26, 29, 47, 22, 85, 41, 15, 29, 30, 25, 39, 32, 21, 49, 77, 21, 63, 41, 20, 47, 31, 116, 131, 211, 187, 172, 259, 111, 97, 163, 191, 90, 204, 35, 32, 60, 38, 104, 36, 46, 87, 13, 111, 152, 176, 81, 96, 183, 163, 71, 114, 302, 37, 107, 134, 107, 136, 34, 31, 195, 151, 174, 68, 157, 156, 163, 326, 130, 202, 302, 126, 98, 162, 185, 191, 239, 149, 137, 177, 206]",0.3692306433900508,1.0126952442516113,0.14696785811668853,0.2503946276857819,0.0,366.718,13634.438,10.029,498538.487,5169.179,967.272,7.712,20000,20000,20000,20000,14.25,8.6,0.30000001192092896,4.999999873689376e-05,659.7537,-0.0066232537,659.75836,0.27957702,0.0062962305,0.5687974,0.0
446.0,11.0,125.55,125.55,13,5,25000,25000,False,395,5,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-31-05,1618425065,5.61665678024292,28.37673568725586,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,28.37673568725586,0,5,"[31.0, 42.0, 45.0, 52.0, 21.0, 11.0, 33.0, 26.0, 29.0, 47.0, 22.0, 85.0, 41.0, 15.0, 29.0, 30.0, 25.0, 39.0, 32.0, 21.0, 49.0, 77.0, 21.0, 63.0, 41.0, 20.0, 47.0, 31.0, 116.0, 131.0, 211.0, 187.0, 172.0, 259.0, 111.0, 97.0, 163.0, 191.0, 90.0, 204.0, 35.0, 32.0, 60.0, 38.0, 104.0, 36.0, 46.0, 87.0, 13.0, 111.0, 152.0, 176.0, 81.0, 96.0, 183.0, 163.0, 71.0, 114.0, 302.0, 37.0, 107.0, 134.0, 107.0, 136.0, 34.0, 31.0, 195.0, 151.0, 174.0, 68.0, 157.0, 156.0, 163.0, 326.0, 130.0, 202.0, 302.0, 126.0, 98.0, 162.0, 185.0, 191.0, 239.0, 149.0, 137.0, 177.0, 206.0, 254.0, 201.0, 446.0, 375.0, 306.0, 109.0, 235.0, 365.0, 283.0, 152.0, 210.0, 320.0, 162.0]","[31, 42, 45, 52, 21, 11, 33, 26, 29, 47, 22, 85, 41, 15, 29, 30, 25, 39, 32, 21, 49, 77, 21, 63, 41, 20, 47, 31, 116, 131, 211, 187, 172, 259, 111, 97, 163, 191, 90, 204, 35, 32, 60, 38, 104, 36, 46, 87, 13, 111, 152, 176, 81, 96, 183, 163, 71, 114, 302, 37, 107, 134, 107, 136, 34, 31, 195, 151, 174, 68, 157, 156, 163, 326, 130, 202, 302, 126, 98, 162, 185, 191, 239, 149, 137, 177, 206, 254, 201, 446, 375, 306, 109, 235, 365, 283, 152, 210, 320, 162]",0.3638591565699291,1.003079296934144,0.1479601604232425,0.25134924166840855,0.0,362.339,13799.235,8.544,585234.3,5161.125,968.781,7.445,25000,25000,25000,25000,15.175,8.6,0.30000001192092896,4.999999873689376e-05,485.2864,-0.0073589827,485.29242,0.42170095,0.0045005023,0.5584437,0.0
464.0,13.0,176.42,176.42,20,5,30000,30000,False,415,6,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-31-11,1618425071,5.647252559661865,34.023988246917725,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,34.023988246917725,0,6,"[49.0, 77.0, 21.0, 63.0, 41.0, 20.0, 47.0, 31.0, 116.0, 131.0, 211.0, 187.0, 172.0, 259.0, 111.0, 97.0, 163.0, 191.0, 90.0, 204.0, 35.0, 32.0, 60.0, 38.0, 104.0, 36.0, 46.0, 87.0, 13.0, 111.0, 152.0, 176.0, 81.0, 96.0, 183.0, 163.0, 71.0, 114.0, 302.0, 37.0, 107.0, 134.0, 107.0, 136.0, 34.0, 31.0, 195.0, 151.0, 174.0, 68.0, 157.0, 156.0, 163.0, 326.0, 130.0, 202.0, 302.0, 126.0, 98.0, 162.0, 185.0, 191.0, 239.0, 149.0, 137.0, 177.0, 206.0, 254.0, 201.0, 446.0, 375.0, 306.0, 109.0, 235.0, 365.0, 283.0, 152.0, 210.0, 320.0, 162.0, 260.0, 277.0, 190.0, 172.0, 177.0, 357.0, 216.0, 432.0, 210.0, 385.0, 379.0, 314.0, 302.0, 70.0, 323.0, 402.0, 464.0, 327.0, 299.0, 207.0]","[49, 77, 21, 63, 41, 20, 47, 31, 116, 131, 211, 187, 172, 259, 111, 97, 163, 191, 90, 204, 35, 32, 60, 38, 104, 36, 46, 87, 13, 111, 152, 176, 81, 96, 183, 163, 71, 114, 302, 37, 107, 134, 107, 136, 34, 31, 195, 151, 174, 68, 157, 156, 163, 326, 130, 202, 302, 126, 98, 162, 185, 191, 239, 149, 137, 177, 206, 254, 201, 446, 375, 306, 109, 235, 365, 283, 152, 210, 320, 162, 260, 277, 190, 172, 177, 357, 216, 432, 210, 385, 379, 314, 302, 70, 323, 402, 464, 327, 299, 207]",0.35402417096210614,0.9893244357892538,0.14755255323301994,0.2497294524036285,0.0,357.745,13976.422,7.506,666157.3,5165.28,968.002,7.219,30000,30000,30000,30000,14.2875,8.6,0.15000000596046448,4.999999873689376e-05,229.28363,-0.007817426,229.29004,0.70235234,0.009397883,0.56836295,0.0
500.0,13.0,200.73,200.73,10,5,35000,35000,False,425,7,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-31-16,1618425076,5.713108539581299,39.73709678649902,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,39.73709678649902,0,7,"[211.0, 187.0, 172.0, 259.0, 111.0, 97.0, 163.0, 191.0, 90.0, 204.0, 35.0, 32.0, 60.0, 38.0, 104.0, 36.0, 46.0, 87.0, 13.0, 111.0, 152.0, 176.0, 81.0, 96.0, 183.0, 163.0, 71.0, 114.0, 302.0, 37.0, 107.0, 134.0, 107.0, 136.0, 34.0, 31.0, 195.0, 151.0, 174.0, 68.0, 157.0, 156.0, 163.0, 326.0, 130.0, 202.0, 302.0, 126.0, 98.0, 162.0, 185.0, 191.0, 239.0, 149.0, 137.0, 177.0, 206.0, 254.0, 201.0, 446.0, 375.0, 306.0, 109.0, 235.0, 365.0, 283.0, 152.0, 210.0, 320.0, 162.0, 260.0, 277.0, 190.0, 172.0, 177.0, 357.0, 216.0, 432.0, 210.0, 385.0, 379.0, 314.0, 302.0, 70.0, 323.0, 402.0, 464.0, 327.0, 299.0, 207.0, 187.0, 196.0, 167.0, 241.0, 500.0, 423.0, 209.0, 445.0, 335.0, 324.0]","[211, 187, 172, 259, 111, 97, 163, 191, 90, 204, 35, 32, 60, 38, 104, 36, 46, 87, 13, 111, 152, 176, 81, 96, 183, 163, 71, 114, 302, 37, 107, 134, 107, 136, 34, 31, 195, 151, 174, 68, 157, 156, 163, 326, 130, 202, 302, 126, 98, 162, 185, 191, 239, 149, 137, 177, 206, 254, 201, 446, 375, 306, 109, 235, 365, 283, 152, 210, 320, 162, 260, 277, 190, 172, 177, 357, 216, 432, 210, 385, 379, 314, 302, 70, 323, 402, 464, 327, 299, 207, 187, 196, 167, 241, 500, 423, 209, 445, 335, 324]",0.34903869170386637,0.9820110903937121,0.14754834181879883,0.24906401812289736,0.0,355.853,14050.738,6.67,749621.565,5176.896,965.83,6.864,35000,35000,35000,35000,14.537500000000001,8.6,0.15000000596046448,4.999999873689376e-05,218.79796,-0.002665452,218.7998,0.6298783,0.0053799823,0.56230766,0.0
500.0,13.0,227.63,227.63,9,5,40000,40000,False,434,8,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-31-22,1618425082,5.560831546783447,45.29792833328247,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,45.29792833328247,0,8,"[204.0, 35.0, 32.0, 60.0, 38.0, 104.0, 36.0, 46.0, 87.0, 13.0, 111.0, 152.0, 176.0, 81.0, 96.0, 183.0, 163.0, 71.0, 114.0, 302.0, 37.0, 107.0, 134.0, 107.0, 136.0, 34.0, 31.0, 195.0, 151.0, 174.0, 68.0, 157.0, 156.0, 163.0, 326.0, 130.0, 202.0, 302.0, 126.0, 98.0, 162.0, 185.0, 191.0, 239.0, 149.0, 137.0, 177.0, 206.0, 254.0, 201.0, 446.0, 375.0, 306.0, 109.0, 235.0, 365.0, 283.0, 152.0, 210.0, 320.0, 162.0, 260.0, 277.0, 190.0, 172.0, 177.0, 357.0, 216.0, 432.0, 210.0, 385.0, 379.0, 314.0, 302.0, 70.0, 323.0, 402.0, 464.0, 327.0, 299.0, 207.0, 187.0, 196.0, 167.0, 241.0, 500.0, 423.0, 209.0, 445.0, 335.0, 324.0, 335.0, 413.0, 500.0, 500.0, 500.0, 446.0, 477.0, 500.0, 500.0]","[204, 35, 32, 60, 38, 104, 36, 46, 87, 13, 111, 152, 176, 81, 96, 183, 163, 71, 114, 302, 37, 107, 134, 107, 136, 34, 31, 195, 151, 174, 68, 157, 156, 163, 326, 130, 202, 302, 126, 98, 162, 185, 191, 239, 149, 137, 177, 206, 254, 201, 446, 375, 306, 109, 235, 365, 283, 152, 210, 320, 162, 260, 277, 190, 172, 177, 357, 216, 432, 210, 385, 379, 314, 302, 70, 323, 402, 464, 327, 299, 207, 187, 196, 167, 241, 500, 423, 209, 445, 335, 324, 335, 413, 500, 500, 500, 446, 477, 500, 500]",0.34583581127490726,0.9772315016107807,0.14732592140707013,0.24907637125259932,0.0,353.228,14155.167,6.024,830049.821,5166.342,967.803,6.819,40000,40000,40000,40000,14.0625,8.6,0.15000000596046448,4.999999873689376e-05,308.4944,-0.004274711,308.49802,0.33347484,0.0043522543,0.5492601,0.0
500.0,31.0,278.45,278.45,12,5,45000,45000,False,446,9,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-31-27,1618425087,5.240227460861206,50.53815579414368,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,50.53815579414368,0,9,"[176.0, 81.0, 96.0, 183.0, 163.0, 71.0, 114.0, 302.0, 37.0, 107.0, 134.0, 107.0, 136.0, 34.0, 31.0, 195.0, 151.0, 174.0, 68.0, 157.0, 156.0, 163.0, 326.0, 130.0, 202.0, 302.0, 126.0, 98.0, 162.0, 185.0, 191.0, 239.0, 149.0, 137.0, 177.0, 206.0, 254.0, 201.0, 446.0, 375.0, 306.0, 109.0, 235.0, 365.0, 283.0, 152.0, 210.0, 320.0, 162.0, 260.0, 277.0, 190.0, 172.0, 177.0, 357.0, 216.0, 432.0, 210.0, 385.0, 379.0, 314.0, 302.0, 70.0, 323.0, 402.0, 464.0, 327.0, 299.0, 207.0, 187.0, 196.0, 167.0, 241.0, 500.0, 423.0, 209.0, 445.0, 335.0, 324.0, 335.0, 413.0, 500.0, 500.0, 500.0, 446.0, 477.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]","[176, 81, 96, 183, 163, 71, 114, 302, 37, 107, 134, 107, 136, 34, 31, 195, 151, 174, 68, 157, 156, 163, 326, 130, 202, 302, 126, 98, 162, 185, 191, 239, 149, 137, 177, 206, 254, 201, 446, 375, 306, 109, 235, 365, 283, 152, 210, 320, 162, 260, 277, 190, 172, 177, 357, 216, 432, 210, 385, 379, 314, 302, 70, 323, 402, 464, 327, 299, 207, 187, 196, 167, 241, 500, 423, 209, 445, 335, 324, 335, 413, 500, 500, 500, 446, 477, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.3409940098626385,0.9718540834587402,0.1476434110053557,0.2488476748054383,0.0,352.574,14181.418,5.695,877889.831,5123.63,975.871,6.62,45000,45000,45000,45000,13.8375,8.6,0.07500000298023224,4.999999873689376e-05,488.4846,-0.00618459,488.4903,0.18837182,0.007057873,0.5349125,0.0
500.0,31.0,306.59,306.59,8,5,50000,50000,False,454,10,4bf49ec5b3ac4937be4829a389db5933,2021-04-14_11-31-32,1618425092,5.279174327850342,55.81733012199402,1641,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,55.81733012199402,0,10,"[37.0, 107.0, 134.0, 107.0, 136.0, 34.0, 31.0, 195.0, 151.0, 174.0, 68.0, 157.0, 156.0, 163.0, 326.0, 130.0, 202.0, 302.0, 126.0, 98.0, 162.0, 185.0, 191.0, 239.0, 149.0, 137.0, 177.0, 206.0, 254.0, 201.0, 446.0, 375.0, 306.0, 109.0, 235.0, 365.0, 283.0, 152.0, 210.0, 320.0, 162.0, 260.0, 277.0, 190.0, 172.0, 177.0, 357.0, 216.0, 432.0, 210.0, 385.0, 379.0, 314.0, 302.0, 70.0, 323.0, 402.0, 464.0, 327.0, 299.0, 207.0, 187.0, 196.0, 167.0, 241.0, 500.0, 423.0, 209.0, 445.0, 335.0, 324.0, 335.0, 413.0, 500.0, 500.0, 500.0, 446.0, 477.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]","[37, 107, 134, 107, 136, 34, 31, 195, 151, 174, 68, 157, 156, 163, 326, 130, 202, 302, 126, 98, 162, 185, 191, 239, 149, 137, 177, 206, 254, 201, 446, 375, 306, 109, 235, 365, 283, 152, 210, 320, 162, 260, 277, 190, 172, 177, 357, 216, 432, 210, 385, 379, 314, 302, 70, 323, 402, 464, 327, 299, 207, 187, 196, 167, 241, 500, 423, 209, 445, 335, 324, 335, 413, 500, 500, 500, 446, 477, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",0.3379806080661119,0.9671437458665514,0.1481863981125449,0.24919090431527585,0.0,350.224,14276.557,5.343,935748.165,5092.737,981.79,6.641,50000,50000,50000,50000,14.871428571428572,8.6,0.07500000298023224,4.999999873689376e-05,333.90115,-0.0010040108,333.90192,0.19092569,0.003777355,0.5244644,0.0
