episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,info/WorkerIteration/Worker3,perf/cpu_util_percent,perf/ram_util_percent
nan,nan,nan,nan,0,5,50,0,False,0,1,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-16-20,1617030980,0.3467421531677246,0.3467421531677246,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,0.3467421531677246,0,1,[],[],1,50,1,5.8,5.1
200.0,0.0,35.0,1188.4666666666667,15,5,9050,0,False,15,2,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-16-26,1617030986,5.034857273101807,5.381599426269531,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,5.381599426269531,0,2,"[0.0, 0.0, 75.0, 150.0, 200.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0]","[1168, 1209, 1307, 1340, 1483, 1113, 1113, 1113, 1113, 1173, 1113, 1113, 1113, 1113, 1243]",181,9050,36,13.12857142857143,5.485714285714286
425.0,0.0,41.666666666666664,1460.179487179487,24,5,17550,0,False,39,3,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-16-30,1617030990,4.950152158737183,10.331751585006714,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,10.331751585006714,0,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 150.0, 400.0, 425.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 150.0, 200.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0]","[2598, 2618, 2603, 2628, 2638, 1229, 1223, 1364, 1439, 1113, 1113, 1113, 1113, 1113, 1827, 1827, 1827, 1827, 2342, 1113, 1113, 1113, 1113, 1113, 1168, 1209, 1307, 1340, 1483, 1113, 1113, 1113, 1113, 1173, 1113, 1113, 1113, 1113, 1243]",351,17550,70,13.714285714285714,5.585714285714286
550.0,0.0,45.357142857142854,1334.1571428571428,31,5,27250,0,False,70,4,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-16-36,1617030996,5.029249906539917,15.36100149154663,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,15.36100149154663,0,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 75.0, 475.0, 175.0, 550.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 150.0, 200.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 150.0, 400.0, 425.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1113, 1113, 1113, 1113, 1729, 1292, 1518, 1468, 1337, 1275, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1168, 1209, 1307, 1340, 1483, 1113, 1113, 1113, 1113, 1173, 1113, 1113, 1113, 1113, 1243, 2598, 2618, 2603, 2628, 2638, 1229, 1223, 1364, 1439, 1113, 1113, 1113, 1113, 1113, 1827, 1827, 1827, 1827, 2342, 1113, 1113, 1113, 1113, 1113]",545,27250,109,12.957142857142857,5.585714285714286
550.0,0.0,36.0,1367.37,34,5,36150,0,False,104,5,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-16-41,1617031001,5.165618419647217,20.526619911193848,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,20.526619911193848,0,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 25.0, 125.0, 200.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 200.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 150.0, 400.0, 425.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 75.0, 475.0, 175.0, 550.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1228, 1189, 1265, 1503, 1683, 1203, 1113, 1113, 1113, 1113, 1113, 3028, 3028, 3043, 3038, 2563, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1483, 1113, 1113, 1113, 1113, 1173, 1113, 1113, 1113, 1113, 1243, 2598, 2618, 2603, 2628, 2638, 1229, 1223, 1364, 1439, 1113, 1113, 1113, 1113, 1113, 1827, 1827, 1827, 1827, 2342, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1729, 1292, 1518, 1468, 1337, 1275, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113]",723,36150,144,13.375,5.6
550.0,0.0,33.25,1252.55,31,5,45500,0,False,135,6,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-16-46,1617031006,4.910047292709351,25.4366672039032,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,25.4366672039032,0,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 150.0, 50.0, 150.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 75.0, 475.0, 175.0, 550.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 25.0, 125.0, 200.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1113, 1113, 1113, 1113, 1113, 1348, 1143, 988, 1179, 1243, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1315, 1315, 1315, 1385, 1385, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1729, 1292, 1518, 1468, 1337, 1275, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1228, 1189, 1265, 1503, 1683, 1203, 1113, 1113, 1113, 1113, 1113, 3028, 3028, 3043, 3038, 2563, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113]",910,45500,182,14.114285714285716,5.628571428571429
500.0,0.0,50.25,1274.84,28,5,55100,0,False,163,7,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-16-51,1617031011,5.00240683555603,30.43907403945923,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,30.43907403945923,0,7,"[0.0, 0.0, 50.0, 125.0, 125.0, 25.0, 50.0, 150.0, 75.0, 500.0, 200.0, 50.0, 0.0, 300.0, 150.0, 150.0, 175.0, 175.0, 0.0, 0.0, 50.0, 75.0, 75.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 25.0, 125.0, 200.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 150.0, 50.0, 150.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1113, 1113, 1182, 1488, 1763, 1189, 1007, 1255, 1347, 1265, 1647, 1223, 1113, 1157, 1264, 1278, 1277, 1282, 1113, 1113, 1172, 1224, 1239, 1302, 1302, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1228, 1189, 1265, 1503, 1683, 1203, 1113, 1113, 1113, 1113, 1113, 3028, 3028, 3043, 3038, 2563, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1348, 1143, 988, 1179, 1243, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1315, 1315, 1315, 1385, 1385]",1102,55100,219,14.257142857142856,5.6571428571428575
500.0,0.0,81.75,1293.61,28,5,64250,0,False,191,8,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-16-56,1617031016,5.09320068359375,35.53227472305298,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,35.53227472305298,0,8,"[175.0, 150.0, 150.0, 125.0, 175.0, 125.0, 175.0, 50.0, 50.0, 200.0, 125.0, 100.0, 75.0, 50.0, 175.0, 450.0, 50.0, 225.0, 75.0, 100.0, 175.0, 0.0, 75.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 150.0, 50.0, 150.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 50.0, 125.0, 125.0, 25.0, 50.0, 150.0, 75.0, 500.0, 200.0, 50.0, 0.0, 300.0, 150.0, 150.0, 175.0, 175.0, 0.0, 0.0, 50.0, 75.0, 75.0, 150.0, 150.0, 150.0, 150.0, 150.0]","[1082, 1287, 1493, 1340, 1745, 1175, 1338, 1089, 1212, 1277, 1305, 1174, 1223, 1264, 1358, 1547, 1188, 1189, 1213, 1278, 1678, 1113, 1234, 1302, 1302, 1302, 1302, 1339, 3028, 3043, 3038, 2563, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1348, 1143, 988, 1179, 1243, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1315, 1315, 1315, 1385, 1385, 1113, 1113, 1182, 1488, 1763, 1189, 1007, 1255, 1347, 1265, 1647, 1223, 1113, 1157, 1264, 1278, 1277, 1282, 1113, 1113, 1172, 1224, 1239, 1302, 1302, 1302, 1302, 1302]",1285,64250,255,13.557142857142855,5.642857142857144
500.0,0.0,121.5,1289.25,31,5,72950,0,False,222,9,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-17-01,1617031021,4.8976263999938965,40.429901123046875,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,40.429901123046875,0,9,"[75.0, 200.0, 225.0, 225.0, 275.0, 300.0, 350.0, 175.0, 250.0, 225.0, 225.0, 50.0, 175.0, 100.0, 100.0, 150.0, 25.0, 0.0, 75.0, 75.0, 50.0, 275.0, 0.0, 175.0, 0.0, 175.0, 275.0, 50.0, 50.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 50.0, 125.0, 125.0, 25.0, 50.0, 150.0, 75.0, 500.0, 200.0, 50.0, 0.0, 300.0, 150.0, 150.0, 175.0, 175.0, 0.0, 0.0, 50.0, 75.0, 75.0, 150.0, 150.0, 150.0, 150.0, 150.0, 175.0, 150.0, 150.0, 125.0, 175.0, 125.0, 175.0, 50.0, 50.0, 200.0, 125.0, 100.0, 75.0, 50.0, 175.0, 450.0, 50.0, 225.0, 75.0, 100.0, 175.0, 0.0, 75.0, 150.0, 150.0, 150.0, 150.0, 150.0]","[1334, 1542, 1297, 1519, 1500, 1390, 1715, 1504, 1559, 1460, 1325, 1183, 1270, 1287, 1472, 1534, 1184, 1138, 1217, 1102, 1319, 1360, 1133, 1362, 1164, 1479, 1672, 1048, 1032, 1138, 1384, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1315, 1315, 1315, 1385, 1385, 1113, 1113, 1182, 1488, 1763, 1189, 1007, 1255, 1347, 1265, 1647, 1223, 1113, 1157, 1264, 1278, 1277, 1282, 1113, 1113, 1172, 1224, 1239, 1302, 1302, 1302, 1302, 1302, 1082, 1287, 1493, 1340, 1745, 1175, 1338, 1089, 1212, 1277, 1305, 1174, 1223, 1264, 1358, 1547, 1188, 1189, 1213, 1278, 1678, 1113, 1234, 1302, 1302, 1302, 1302, 1339]",1459,72950,289,14.0,5.6000000000000005
475.0,0.0,151.5,1325.97,27,5,81800,0,False,249,10,d73c93038dcf4b62b6999a8ec0d0af7f,2021-03-29_08-17-06,1617031026,5.09566593170166,45.525567054748535,2298,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,45.525567054748535,0,10,"[75.0, 25.0, 200.0, 25.0, 100.0, 75.0, 225.0, 275.0, 250.0, 250.0, 225.0, 350.0, 225.0, 300.0, 475.0, 400.0, 300.0, 125.0, 175.0, 150.0, 250.0, 25.0, 175.0, 75.0, 125.0, 250.0, 150.0, 150.0, 150.0, 175.0, 175.0, 0.0, 0.0, 50.0, 75.0, 75.0, 150.0, 150.0, 150.0, 150.0, 150.0, 175.0, 150.0, 150.0, 125.0, 175.0, 125.0, 175.0, 50.0, 50.0, 200.0, 125.0, 100.0, 75.0, 50.0, 175.0, 450.0, 50.0, 225.0, 75.0, 100.0, 175.0, 0.0, 75.0, 150.0, 150.0, 150.0, 150.0, 150.0, 75.0, 200.0, 225.0, 225.0, 275.0, 300.0, 350.0, 175.0, 250.0, 225.0, 225.0, 50.0, 175.0, 100.0, 100.0, 150.0, 25.0, 0.0, 75.0, 75.0, 50.0, 275.0, 0.0, 175.0, 0.0, 175.0, 275.0, 50.0, 50.0, 0.0, 150.0]","[1228, 1014, 1312, 1153, 1278, 1224, 1389, 1537, 1417, 1320, 1408, 1647, 1335, 1565, 2035, 1580, 1698, 1264, 1123, 1398, 1443, 1148, 1387, 1229, 1199, 1419, 1403, 1264, 1278, 1277, 1282, 1113, 1113, 1172, 1224, 1239, 1302, 1302, 1302, 1302, 1302, 1082, 1287, 1493, 1340, 1745, 1175, 1338, 1089, 1212, 1277, 1305, 1174, 1223, 1264, 1358, 1547, 1188, 1189, 1213, 1278, 1678, 1113, 1234, 1302, 1302, 1302, 1302, 1339, 1334, 1542, 1297, 1519, 1500, 1390, 1715, 1504, 1559, 1460, 1325, 1183, 1270, 1287, 1472, 1534, 1184, 1138, 1217, 1102, 1319, 1360, 1133, 1362, 1164, 1479, 1672, 1048, 1032, 1138, 1384]",1636,81800,325,12.95,5.65
