episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,info/WorkerIteration/Worker13,perf/cpu_util_percent,perf/ram_util_percent
nan,nan,nan,nan,0,15,50,0,False,0,1,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-01,1617031201,0.3653452396392822,0.3653452396392822,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,0.3653452396392822,0,1,[],[],1,50,1,17.0,8.3
nan,nan,nan,nan,0,15,14750,0,False,0,2,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-06,1617031206,5.023499488830566,5.388844728469849,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,5.388844728469849,0,2,[],[],295,14750,21,29.428571428571423,9.314285714285715
150.0,0.0,31.923076923076923,1161.0153846153846,65,15,29700,0,False,65,3,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-11,1617031211,5.066860914230347,10.455705642700195,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,10.455705642700195,0,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 150.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1113, 1113, 1113, 1113, 1150, 1150, 1150, 1302, 1385, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1150, 1150, 1150, 1150, 1150, 1149, 1159, 1159, 1159, 1159, 1149, 1159, 1159, 1159, 1219, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1149, 1159, 1159, 1159, 1219, 1379, 1379, 1424, 1469, 1498, 1113, 1113, 1113, 1113, 1113]",594,29700,41,26.957142857142856,9.614285714285716
150.0,0.0,20.75,1158.52,60,15,44900,0,False,125,4,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-16,1617031216,5.051117420196533,15.506823062896729,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,15.506823062896729,0,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1168, 1274, 1113, 1113, 1113, 1113, 1113, 1149, 1159, 1159, 1159, 1159, 1149, 1159, 1159, 1159, 1219, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1149, 1159, 1159, 1159, 1219, 1379, 1379, 1424, 1469, 1498, 1113, 1113, 1113, 1113, 1113]",898,44900,61,24.450000000000003,9.775
150.0,0.0,14.75,1299.15,47,15,59700,0,False,172,5,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-21,1617031221,5.107844829559326,20.614667892456055,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,20.614667892456055,0,5,"[0.0, 0.0, 0.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 50.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1113, 1113, 1113, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 3117, 3117, 3117, 3117, 1113, 1113, 1113, 1113, 3117, 3117, 3117, 3117, 1113, 1113, 1113, 1113, 1288, 1222, 1224, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1168, 1274, 1113, 1113, 1113, 1113, 1113]",1194,59700,81,27.114285714285717,9.857142857142858
150.0,0.0,21.75,1351.24,33,15,74650,0,False,205,6,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-26,1617031226,4.997866868972778,25.612534761428833,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,25.612534761428833,0,6,"[0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 50.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1302, 1302, 1302, 1302, 1302, 1113, 1302, 1302, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 3117, 1113, 3117, 1113, 1159, 1159, 1159, 1159, 1159, 1178, 1133, 1133, 1158, 1178, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1168, 1274, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 3117, 3117, 3117, 3117, 1113, 1113, 1113, 1113, 3117, 3117, 3117, 3117, 1113, 1113, 1113, 1113, 1288, 1222, 1224, 1113, 1113, 1113, 1113, 1113]",1493,74650,101,26.157142857142855,9.857142857142858
150.0,0.0,25.75,1195.78,61,15,89350,0,False,266,7,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-31,1617031231,5.027238607406616,30.63977336883545,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,30.63977336883545,0,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 25.0, 25.0]","[1113, 1113, 1113, 1113, 1113, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1224, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1113, 1302, 1302, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 3117, 1113, 3117, 1113, 1159, 1159, 1159, 1159, 1159, 1178, 1133, 1133, 1158, 1178]",1787,89350,121,26.942857142857143,9.9
150.0,0.0,12.0,1136.86,55,15,104250,0,False,321,8,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-36,1617031236,5.04888653755188,35.68865990638733,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,35.68865990638733,0,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113]",2085,104250,140,25.799999999999997,9.9
150.0,0.0,21.0,1144.06,48,15,118950,0,False,369,9,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-41,1617031241,5.037477970123291,40.72613787651062,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,40.72613787651062,0,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113]",2379,118950,159,27.057142857142857,9.885714285714286
150.0,0.0,16.5,1384.27,30,15,134250,0,False,399,10,d16c69b18f674a188572235aee66debe,2021-03-29_08-20-46,1617031246,5.011223316192627,45.73736119270325,9317,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,45.73736119270325,0,10,"[150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1302, 1113, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 4152, 4152, 4152, 4152, 4152, 4152, 4152, 4152, 1113, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113]",2685,134250,179,26.75714285714286,9.9
