episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,info/WorkerIteration/Worker9,perf/cpu_util_percent,perf/ram_util_percent
nan,nan,nan,nan,0,10,50,0,False,0,1,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-16-32,1617034592,0.3424041271209717,0.3424041271209717,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,0.3424041271209717,0,1,[],[],1,50,1,11.4,7.1
175.0,0.0,48.68421052631579,1166.0526315789473,19,10,14050,0,False,19,2,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-16-37,1617034597,4.9947216510772705,5.337125778198242,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,5.337125778198242,0,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 175.0, 175.0, 125.0, 150.0, 150.0]","[1113, 1113, 1113, 1113, 1113, 1184, 1184, 1249, 1254, 1113, 1113, 1113, 1113, 1113, 1175, 1175, 1200, 1302, 1302]",281,14050,30,21.2,7.885714285714285
525.0,0.0,112.5,1283.5714285714287,23,10,25200,0,False,42,3,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-16-42,1617034602,5.049401521682739,10.386527299880981,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,10.386527299880981,0,3,"[0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 250.0, 250.0, 75.0, 0.0, 0.0, 150.0, 125.0, 175.0, 525.0, 525.0, 500.0, 200.0, 125.0, 125.0, 150.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 175.0, 175.0, 125.0, 150.0, 150.0]","[1113, 1113, 1113, 1385, 1385, 1515, 1515, 1515, 1279, 1113, 1113, 1292, 1385, 1535, 1387, 1387, 1437, 1600, 1733, 1768, 1302, 1385, 1385, 1113, 1113, 1113, 1113, 1113, 1184, 1184, 1249, 1254, 1113, 1113, 1113, 1113, 1113, 1175, 1175, 1200, 1302, 1302]",504,25200,52,20.771428571428572,8.071428571428573
650.0,0.0,109.51086956521739,1350.391304347826,50,10,39650,0,False,92,4,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-16-47,1617034607,5.011038780212402,15.397566080093384,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,15.397566080093384,0,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 250.0, 250.0, 250.0, 125.0, 650.0, 650.0, 0.0, 50.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 175.0, 175.0, 125.0, 150.0, 150.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 250.0, 250.0, 75.0, 0.0, 0.0, 150.0, 125.0, 175.0, 525.0, 525.0, 500.0, 200.0, 125.0, 125.0, 150.0, 125.0, 125.0]","[1113, 1113, 1113, 1113, 1113, 1113, 1113, 1339, 1339, 1339, 1339, 1339, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1395, 1480, 1625, 1755, 1590, 1822, 2342, 2342, 2342, 2342, 2064, 2244, 2354, 1159, 1219, 1159, 1302, 1302, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1184, 1184, 1249, 1254, 1113, 1113, 1113, 1113, 1113, 1175, 1175, 1200, 1302, 1302, 1113, 1113, 1113, 1385, 1385, 1515, 1515, 1515, 1279, 1113, 1113, 1292, 1385, 1535, 1387, 1387, 1437, 1600, 1733, 1768, 1302, 1385, 1385]",793,39650,81,20.875,8.1
675.0,0.0,109.25,1461.19,41,10,53300,0,False,133,5,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-16-52,1617034612,5.111117601394653,20.508683681488037,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,20.508683681488037,0,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 275.0, 375.0, 275.0, 575.0, 675.0, 525.0, 525.0, 500.0, 200.0, 125.0, 125.0, 150.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 250.0, 250.0, 250.0, 125.0, 650.0, 650.0, 0.0, 50.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0]","[4152, 4152, 4152, 4152, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1520, 1530, 1530, 1580, 1660, 1387, 1387, 1437, 1600, 1733, 1768, 1302, 1385, 1385, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1339, 1339, 1339, 1339, 1339, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1395, 1480, 1625, 1755, 1590, 1822, 2342, 2342, 2342, 2342, 2064, 2244, 2354, 1159, 1219, 1159, 1302, 1302, 1302, 1302, 1302]",1066,53300,108,20.828571428571426,8.142857142857142
675.0,0.0,91.5,1473.42,29,10,65100,0,False,162,6,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-16-57,1617034617,4.900068998336792,25.40875267982483,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,25.40875267982483,0,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 250.0, 250.0, 250.0, 125.0, 650.0, 650.0, 0.0, 50.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 275.0, 375.0, 275.0, 575.0, 675.0]","[4152, 1113, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1395, 1480, 1625, 1755, 1590, 1822, 2342, 2342, 2342, 2342, 2064, 2244, 2354, 1159, 1219, 1159, 1302, 1302, 1302, 1302, 1302, 4152, 4152, 4152, 4152, 1113, 1113, 1113, 1113, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1520, 1530, 1530, 1580, 1660]",1302,65100,131,20.400000000000002,8.200000000000001
675.0,0.0,81.25,1424.26,47,10,79650,0,False,209,7,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-17-02,1617034622,5.039975166320801,30.44872784614563,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,30.44872784614563,0,7,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 125.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 275.0, 375.0, 275.0, 575.0, 675.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0]","[1560, 1565, 1570, 1555, 1565, 1455, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1113, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 4152, 4152, 4152, 4152, 1335, 1275, 1395, 1150, 1150, 1383, 1323, 1443, 1443, 1503, 1113, 1113, 1113, 1113, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1520, 1530, 1530, 1580, 1660, 4152, 1113, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159]",1593,79650,160,21.97142857142857,8.200000000000001
625.0,0.0,98.25,1485.08,39,10,91700,0,False,248,8,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-17-07,1617034627,5.146361589431763,35.59508943557739,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,35.59508943557739,0,8,"[150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 225.0, 175.0, 175.0, 625.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 125.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0]","[1827, 1827, 1827, 1827, 1455, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1209, 1408, 1409, 1454, 1749, 1315, 1315, 1315, 1315, 1315, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1465, 4152, 1302, 1302, 1302, 1302, 1302, 1113, 1113, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1560, 1565, 1570, 1555, 1565, 1455, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1113, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 4152, 4152, 4152, 4152, 1335, 1275, 1395, 1150, 1150, 1383, 1323, 1443, 1443, 1503, 1113, 1113, 1113, 1113]",1834,91700,184,18.814285714285713,8.142857142857142
625.0,0.0,102.25,1486.87,37,10,105050,0,False,285,9,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-17-12,1617034632,4.92449426651001,40.5195837020874,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,40.5195837020874,0,9,"[150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 175.0, 200.0, 150.0, 250.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 125.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 225.0, 175.0, 175.0, 625.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0]","[1827, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1174, 1347, 1589, 1367, 1714, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1179, 1244, 1234, 1784, 1239, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1455, 1455, 1455, 1455, 4152, 4152, 4152, 4152, 1335, 1275, 1395, 1150, 1150, 1383, 1323, 1443, 1443, 1503, 1113, 1113, 1113, 1113, 1827, 1827, 1827, 1827, 1455, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1209, 1408, 1409, 1454, 1749, 1315, 1315, 1315, 1315, 1315, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1465, 4152, 1302, 1302, 1302, 1302, 1302, 1113]",2101,105050,208,22.32857142857143,8.185714285714285
625.0,0.0,103.0,1331.06,41,10,119550,0,False,326,10,99c6c3e2a4f74dc6a69d9354aff6748c,2021-03-29_09-17-17,1617034637,4.999839544296265,45.51942324638367,281291,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,45.51942324638367,0,10,"[125.0, 125.0, 125.0, 150.0, 125.0, 175.0, 50.0, 100.0, 75.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 175.0, 625.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 0.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 175.0, 200.0, 150.0, 250.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1455, 1094, 1298, 1268, 1259, 1409, 1229, 1414, 1348, 1004, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1302, 1302, 1323, 1323, 1253, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1454, 1749, 1315, 1315, 1315, 1315, 1315, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1465, 4152, 1302, 1302, 1302, 1302, 1302, 1113, 1827, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1174, 1347, 1589, 1367, 1714, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1179, 1244, 1234, 1784, 1239, 1302, 1302, 1302, 1113, 1113, 1113, 1113, 1113]",2391,119550,238,22.4375,8.2
