episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/grad_wait_time_ms,timers/apply_grad_time_ms,timers/apply_grad_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/cur_lr,info/learner/policy_loss,info/learner/policy_entropy,info/learner/var_gnorm,info/learner/vf_loss,info/learner/grad_gnorm,info/learner/vf_explained_var
nan,nan,nan,nan,0,10,50,0,False,0,1,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-30-43,1618205443,0.6564433574676514,0.6564433574676514,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,0.6564433574676514,0,1,[],[],458.421,140.774,355.179,3.688,50,50,7.5,20.7,9.999999747378752e-05,-0.025189083,51.876816,9.792896,0.0061947885,40.000004,-0.26590204
nan,nan,nan,nan,0,10,9950,0,False,0,2,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-30-48,1618205448,5.231039047241211,5.887482404708862,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,5.887482404708862,0,2,[],[],16.5,3.162,15811.333,6.751,9950,9950,73.4,21.9125,9.999999747378752e-05,-1.4247775e-05,0.0010472286,9.952287,1.4200242,40.000004,-1.0
125.0,0.0,32.0,1230.9,50,10,19650,0,False,50,3,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-30-53,1618205453,5.020287275314331,10.907769680023193,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,10.907769680023193,0,3,"[0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 25.0, 25.0, 0.0, 0.0, 125.0, 125.0, 125.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0]","[1164, 1174, 1169, 1184, 1469, 1164, 1174, 1184, 1179, 1429, 1174, 1169, 1169, 1189, 1184, 1169, 1184, 1179, 1459, 1454, 1159, 1159, 1219, 1274, 1274, 1159, 1159, 1274, 1289, 1434, 1164, 1164, 1239, 1279, 1439, 1159, 1159, 1184, 1409, 1424, 1169, 1164, 1164, 1169, 1184, 1159, 1159, 1234, 1234, 1269]",13.064,3.256,15358.463,7.22,19650,19650,76.3142857142857,22.342857142857145,9.999999747378752e-05,-3.8787304e-05,0.013188621,9.992236,0.07347208,34.865536,-0.33239114
125.0,0.0,32.35294117647059,1233.3725490196077,1,10,29250,0,False,51,4,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-30-58,1618205458,4.964560508728027,15.87233018875122,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,15.87233018875122,0,4,"[0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 25.0, 25.0, 0.0, 0.0, 125.0, 125.0, 125.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 50.0]","[1164, 1174, 1169, 1184, 1469, 1164, 1174, 1184, 1179, 1429, 1174, 1169, 1169, 1189, 1184, 1169, 1184, 1179, 1459, 1454, 1159, 1159, 1219, 1274, 1274, 1159, 1159, 1274, 1289, 1434, 1164, 1164, 1239, 1279, 1439, 1159, 1159, 1184, 1409, 1424, 1169, 1164, 1164, 1169, 1184, 1159, 1159, 1234, 1234, 1269, 1357]",13.038,3.263,15325.129,7.903,29250,29250,76.6,22.428571428571427,9.999999747378752e-05,-0.0,0.0,10.229986,9.789932,40.0,-0.01971829
125.0,0.0,28.819444444444443,1378.1805555555557,21,10,38900,0,False,72,5,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-31-03,1618205463,4.9910383224487305,20.86336851119995,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,20.86336851119995,0,5,"[0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 25.0, 25.0, 0.0, 0.0, 125.0, 125.0, 125.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 25.0, 0.0, 0.0, 0.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 0.0]","[1164, 1174, 1169, 1184, 1469, 1164, 1174, 1184, 1179, 1429, 1174, 1169, 1169, 1189, 1184, 1169, 1184, 1179, 1459, 1454, 1159, 1159, 1219, 1274, 1274, 1159, 1159, 1274, 1289, 1434, 1164, 1164, 1239, 1279, 1439, 1159, 1159, 1184, 1409, 1424, 1169, 1164, 1164, 1169, 1184, 1159, 1159, 1234, 1234, 1269, 1357, 1827, 1827, 1827, 1827, 1302, 1822, 1792, 1827, 1827, 1297, 1792, 1792, 1822, 1697, 1762, 1762, 1822, 1352, 1762, 1762, 1827]",14.532,3.019,16560.865,7.088,38900,38900,76.14285714285714,22.47142857142857,9.999999747378752e-05,-0.0,2.5508962e-18,10.249019,0.22188579,40.000004,-0.015249491
125.0,0.0,23.232323232323232,1587.8989898989898,27,10,48500,0,False,99,6,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-31-08,1618205468,4.961227178573608,25.82459568977356,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,25.82459568977356,0,6,"[0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 25.0, 25.0, 0.0, 0.0, 125.0, 125.0, 125.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 25.0, 0.0, 0.0, 0.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0]","[1164, 1174, 1169, 1184, 1469, 1164, 1174, 1184, 1179, 1429, 1174, 1169, 1169, 1189, 1184, 1169, 1184, 1179, 1459, 1454, 1159, 1159, 1219, 1274, 1274, 1159, 1159, 1274, 1289, 1434, 1164, 1164, 1239, 1279, 1439, 1159, 1159, 1184, 1409, 1424, 1169, 1164, 1164, 1169, 1184, 1159, 1159, 1234, 1234, 1269, 1357, 1827, 1827, 1827, 1827, 1302, 1822, 1792, 1827, 1827, 1297, 1792, 1792, 1822, 1697, 1762, 1762, 1822, 1352, 1762, 1762, 1827, 1827, 2342, 2342, 2268, 1827, 2333, 1827, 2342, 2342, 2342, 2342, 1792, 2277, 1827, 2342, 2342, 2342, 2077, 2313, 2298, 1792, 1822, 1762, 1827, 2342, 2342, 2342]",16.14,3.469,14411.93,7.79,48500,48500,76.5,22.54285714285714,9.999999747378752e-05,4.043181e-07,0.0010417304,10.290194,0.6521229,40.0,0.027841568
500.0,0.0,28.0,1628.0,3,10,58100,0,False,102,7,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-31-13,1618205473,4.9989402294158936,30.823535919189453,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,30.823535919189453,0,7,"[0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 25.0, 25.0, 0.0, 0.0, 125.0, 125.0, 125.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 25.0, 0.0, 0.0, 0.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 500.0, 0.0]","[1169, 1184, 1469, 1164, 1174, 1184, 1179, 1429, 1174, 1169, 1169, 1189, 1184, 1169, 1184, 1179, 1459, 1454, 1159, 1159, 1219, 1274, 1274, 1159, 1159, 1274, 1289, 1434, 1164, 1164, 1239, 1279, 1439, 1159, 1159, 1184, 1409, 1424, 1169, 1164, 1164, 1169, 1184, 1159, 1159, 1234, 1234, 1269, 1357, 1827, 1827, 1827, 1827, 1302, 1822, 1792, 1827, 1827, 1297, 1792, 1792, 1822, 1697, 1762, 1762, 1822, 1352, 1762, 1762, 1827, 1827, 2342, 2342, 2268, 1827, 2333, 1827, 2342, 2342, 2342, 2342, 1792, 2277, 1827, 2342, 2342, 2342, 2077, 2313, 2298, 1792, 1822, 1762, 1827, 2342, 2342, 2342, 2407, 3122, 2407]",16.338,2.884,17336.42,7.328,58100,58100,75.80000000000001,22.6125,9.999999747378752e-05,-0.0,3.8455282e-35,10.511598,0.12999889,40.0,0.009773374
500.0,0.0,28.0,1640.38,1,10,67800,0,False,103,8,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-31-18,1618205478,4.957552671432495,35.78108859062195,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,35.78108859062195,0,8,"[0.0, 25.0, 0.0, 0.0, 25.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 25.0, 25.0, 25.0, 0.0, 0.0, 125.0, 125.0, 125.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 125.0, 125.0, 25.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 25.0, 0.0, 0.0, 0.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 500.0, 0.0, 0.0]","[1184, 1469, 1164, 1174, 1184, 1179, 1429, 1174, 1169, 1169, 1189, 1184, 1169, 1184, 1179, 1459, 1454, 1159, 1159, 1219, 1274, 1274, 1159, 1159, 1274, 1289, 1434, 1164, 1164, 1239, 1279, 1439, 1159, 1159, 1184, 1409, 1424, 1169, 1164, 1164, 1169, 1184, 1159, 1159, 1234, 1234, 1269, 1357, 1827, 1827, 1827, 1827, 1302, 1822, 1792, 1827, 1827, 1297, 1792, 1792, 1822, 1697, 1762, 1762, 1822, 1352, 1762, 1762, 1827, 1827, 2342, 2342, 2268, 1827, 2333, 1827, 2342, 2342, 2342, 2342, 1792, 2277, 1827, 2342, 2342, 2342, 2077, 2313, 2298, 1792, 1822, 1762, 1827, 2342, 2342, 2342, 2407, 3122, 2407, 2407]",14.214,3.369,14840.265,7.083,67800,67800,78.24285714285715,22.614285714285717,9.999999747378752e-05,-0.0,2.5274106e-22,10.559337,0.17176422,40.0,-0.21430326
500.0,0.0,17.0,2092.01,31,10,77500,0,False,134,9,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-31-23,1618205483,4.989819049835205,40.77090764045715,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,40.77090764045715,0,9,"[25.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 25.0, 0.0, 0.0, 0.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 500.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1439, 1159, 1159, 1184, 1409, 1424, 1169, 1164, 1164, 1169, 1184, 1159, 1159, 1234, 1234, 1269, 1357, 1827, 1827, 1827, 1827, 1302, 1822, 1792, 1827, 1827, 1297, 1792, 1792, 1822, 1697, 1762, 1762, 1822, 1352, 1762, 1762, 1827, 1827, 2342, 2342, 2268, 1827, 2333, 1827, 2342, 2342, 2342, 2342, 1792, 2277, 1827, 2342, 2342, 2342, 2077, 2313, 2298, 1792, 1822, 1762, 1827, 2342, 2342, 2342, 2407, 3122, 2407, 2407, 2342, 2342, 2862, 3122, 3122, 2342, 2342, 2342, 2342, 2342, 2862, 2862, 2862, 2862, 2342, 2342, 2862, 2342, 2862, 2862, 2862, 3122, 2862, 3122, 2862, 3122, 3122, 2862, 2342, 2342, 2342]",11.213,2.94,17009.084,8.436,77500,77500,77.44285714285714,22.599999999999998,9.999999747378752e-05,-0.0,4.644518e-07,10.611832,0.0015582424,4.7896404,-1.0
500.0,0.0,14.5,2367.43,14,10,87200,0,False,148,10,e2a314002a794c2c8ef67abd32838d58,2021-04-11_22-31-28,1618205488,4.9942755699157715,45.765183210372925,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,45.765183210372925,0,10,"[125.0, 125.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 25.0, 0.0, 0.0, 0.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 50.0, 50.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 25.0, 50.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 500.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1234, 1269, 1357, 1827, 1827, 1827, 1827, 1302, 1822, 1792, 1827, 1827, 1297, 1792, 1792, 1822, 1697, 1762, 1762, 1822, 1352, 1762, 1762, 1827, 1827, 2342, 2342, 2268, 1827, 2333, 1827, 2342, 2342, 2342, 2342, 1792, 2277, 1827, 2342, 2342, 2342, 2077, 2313, 2298, 1792, 1822, 1762, 1827, 2342, 2342, 2342, 2407, 3122, 2407, 2407, 2342, 2342, 2862, 3122, 3122, 2342, 2342, 2342, 2342, 2342, 2862, 2862, 2862, 2862, 2342, 2342, 2862, 2342, 2862, 2862, 2862, 3122, 2862, 3122, 2862, 3122, 3122, 2862, 2342, 2342, 2342, 3122, 3117, 2342, 3897, 3897, 3122, 2862, 2342, 3117, 2862, 3897, 3897, 3122, 3122]",10.523,3.122,16017.842,7.633,87200,87200,76.84285714285714,22.585714285714285,9.999999747378752e-05,-0.0,2.475974e-06,10.61486,1.784685e-06,0.029469118,-0.051359892
