episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/update_time_ms,info/num_steps_trained,info/num_steps_sampled,info/WorkerIteration/Worker8,info/significant_weight_updates,perf/cpu_util_percent,perf/ram_util_percent
nan,nan,nan,nan,0,10,50,0,False,0,1,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-15,1618212675,1.1349472999572754,1.1349472999572754,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,1.1349472999572754,0,1,[],[],35.209,1,50,1,5,26.75,19.200000000000003
nan,nan,nan,nan,0,10,5400,0,False,0,2,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-20,1618212680,5.118699550628662,6.2536468505859375,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,6.2536468505859375,0,2,[],[],11.518,108,5400,12,256,48.057142857142864,20.37142857142857
nan,nan,nan,nan,0,10,10650,0,False,0,3,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-25,1618212685,4.952335596084595,11.205982446670532,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,11.205982446670532,0,3,[],[],17.102,213,10650,23,306,48.34285714285715,20.685714285714283
225.0,150.0,152.77777777777777,1304.5925925925926,27,10,16200,0,False,27,4,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-30,1618212690,5.009477853775024,16.215460300445557,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,16.215460300445557,0,4,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0]","[1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302]",9.788,324,16200,34,324,36.3,20.775
275.0,150.0,184.5,1342.92,23,10,21850,0,False,50,5,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-35,1618212695,5.100935935974121,21.316396236419678,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,21.316396236419678,0,5,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 225.0, 225.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 150.0, 150.0]","[1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1372, 1372, 1455, 1455, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1302, 1302]",9.942,437,21850,45,363,42.77142857142858,20.8
275.0,150.0,184.5,1342.92,0,10,27550,0,False,50,6,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-40,1618212700,5.030767202377319,26.347163438796997,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,26.347163438796997,0,6,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 225.0, 225.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 150.0, 150.0]","[1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1372, 1372, 1455, 1455, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1302, 1302]",8.707,551,27550,57,383,42.557142857142864,20.82857142857143
275.0,150.0,176.1494252873563,1332.1149425287356,37,10,33200,0,False,87,7,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-45,1618212705,5.0127387046813965,31.359902143478394,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,31.359902143478394,0,7,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 225.0, 225.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 225.0, 175.0, 225.0, 200.0, 200.0, 200.0, 200.0, 200.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 200.0]","[1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1372, 1372, 1455, 1455, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1302, 1302, 1302, 1302, 1372, 1372, 1575, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1323, 1372, 1372]",9.224,664,33200,68,398,43.15714285714286,20.900000000000002
275.0,150.0,172.75,1328.2,13,10,38900,0,False,100,8,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-50,1618212710,5.0381128787994385,36.39801502227783,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,36.39801502227783,0,8,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 225.0, 225.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 225.0, 175.0, 225.0, 200.0, 200.0, 200.0, 200.0, 200.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 200.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0]","[1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1372, 1372, 1455, 1455, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1302, 1302, 1302, 1302, 1372, 1372, 1575, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1323, 1372, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302]",9.741,778,38900,80,434,37.575,20.9
300.0,150.0,175.5,1325.73,4,10,44600,0,False,104,9,f89dccb58d7248f49af769470ff92077,2021-04-12_00-31-55,1618212715,4.970621824264526,41.36863684654236,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,41.36863684654236,0,9,"[150.0, 150.0, 150.0, 150.0, 225.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 225.0, 225.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 225.0, 175.0, 225.0, 200.0, 200.0, 200.0, 200.0, 200.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 200.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 300.0, 250.0, 175.0]","[1302, 1302, 1302, 1302, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1372, 1372, 1455, 1455, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1302, 1302, 1302, 1302, 1372, 1372, 1575, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1323, 1372, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1223, 1280, 1340, 1118]",9.621,892,44600,91,455,39.9,21.0
575.0,150.0,192.75,1332.97,33,10,50300,0,False,137,10,f89dccb58d7248f49af769470ff92077,2021-04-12_00-32-00,1618212720,5.196977376937866,46.565614223480225,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,46.565614223480225,0,10,"[275.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 275.0, 275.0, 275.0, 150.0, 150.0, 150.0, 150.0, 225.0, 175.0, 225.0, 200.0, 200.0, 200.0, 200.0, 200.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 225.0, 200.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 300.0, 250.0, 175.0, 200.0, 575.0, 275.0, 275.0, 375.0, 275.0, 350.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 275.0, 275.0, 250.0, 375.0, 250.0, 225.0, 300.0, 150.0, 150.0, 150.0, 150.0, 200.0, 150.0, 200.0, 225.0, 200.0, 225.0, 225.0, 200.0, 250.0]","[1455, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1302, 1302, 1302, 1302, 1372, 1372, 1575, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1323, 1372, 1372, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1223, 1280, 1340, 1118, 1387, 1402, 1260, 1535, 1710, 1370, 1480, 1302, 1323, 1328, 1323, 1323, 1323, 1205, 1215, 1330, 1405, 1215, 1315, 1305, 1395, 1328, 1342, 1328, 1499, 1323, 1292, 1315, 1385, 1440, 1240, 1308, 1567]",9.891,1006,50300,102,475,42.62857142857143,21.0
