episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,info/WorkerIteration/Worker3,perf/cpu_util_percent,perf/ram_util_percent
nan,nan,nan,nan,0,10,50,0,False,0,1,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-31-24,1618216284,0.6183984279632568,0.6183984279632568,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,0.6183984279632568,0,1,[],[],1,50,1,7.2,20.4
nan,nan,nan,nan,0,10,4850,0,False,0,2,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-31-29,1618216289,4.873991250991821,5.492389678955078,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,5.492389678955078,0,2,[],[],97,4850,11,34.74285714285714,21.614285714285717
nan,nan,nan,nan,0,10,9650,0,False,0,3,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-31-34,1618216294,5.077895164489746,10.570284843444824,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,10.570284843444824,0,3,[],[],193,9650,20,26.6625,22.0
nan,nan,nan,nan,0,10,14600,0,False,0,4,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-31-39,1618216299,5.13988184928894,15.710166692733765,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,15.710166692733765,0,4,[],[],292,14600,30,35.92857142857142,22.199999999999996
350.0,125.0,163.63636363636363,1453.6363636363637,33,10,19100,0,False,33,5,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-31-45,1618216305,5.226288795471191,20.936455488204956,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,20.936455488204956,0,5,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 225.0, 250.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 350.0, 250.0, 325.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1460, 1465, 1470, 1480, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1245, 1460, 1500, 1480, 1490, 1455, 1455, 1455, 1455]",382,19100,39,34.98571428571429,22.214285714285715
350.0,125.0,160.0,1454.125,7,10,22550,0,False,40,6,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-31-49,1618216309,4.833411455154419,25.769866943359375,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,25.769866943359375,0,6,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 225.0, 250.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 350.0, 250.0, 325.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1460, 1465, 1470, 1480, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1245, 1460, 1500, 1480, 1490, 1455, 1455, 1455, 1455, 1455, 1465, 1455, 1455, 1455, 1455, 1455]",451,22550,46,21.757142857142856,22.271428571428572
350.0,125.0,158.72093023255815,1514.0697674418604,3,10,27400,0,False,43,7,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-31-55,1618216315,5.099611759185791,30.869478702545166,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,30.869478702545166,0,7,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 225.0, 250.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 350.0, 250.0, 325.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 125.0, 125.0, 150.0, 150.0, 125.0]","[1455, 1455, 1455, 1455, 1460, 1465, 1470, 1480, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1245, 1460, 1500, 1480, 1490, 1455, 1455, 1455, 1455, 1455, 1465, 1455, 1455, 1455, 1455, 1455, 2300, 2320, 2320]",548,27400,55,37.7375,22.35
350.0,125.0,155.85106382978722,1600.3191489361702,4,10,32350,0,False,47,8,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-32-00,1618216320,5.021422624588013,35.89090132713318,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,35.89090132713318,0,8,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 225.0, 250.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 350.0, 250.0, 325.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1460, 1465, 1470, 1480, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1245, 1460, 1500, 1480, 1490, 1455, 1455, 1455, 1455, 1455, 1465, 1455, 1455, 1455, 1455, 1455, 2300, 2320, 2320, 2625, 2640, 2320, 2525]",647,32350,66,44.8,22.35714285714286
350.0,125.0,142.05882352941177,1566.1764705882354,38,10,37250,0,False,85,9,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-32-05,1618216325,5.010748863220215,40.901650190353394,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,40.901650190353394,0,9,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 225.0, 250.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 350.0, 250.0, 325.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1460, 1465, 1470, 1480, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1245, 1460, 1500, 1480, 1490, 1455, 1455, 1455, 1455, 1455, 1465, 1455, 1455, 1455, 1455, 1455, 2300, 2320, 2320, 2625, 2640, 2320, 2525, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 2625, 2905, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455]",745,37250,76,40.271428571428565,22.400000000000002
350.0,125.0,141.2921348314607,1561.1797752808989,4,10,41800,0,False,89,10,80a7330b43da490ca4e5ac9581c48bd9,2021-04-12_01-32-10,1618216330,5.043288230895996,45.94493842124939,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,45.94493842124939,0,10,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 225.0, 250.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 350.0, 250.0, 325.0, 250.0, 250.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1460, 1465, 1470, 1480, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1245, 1460, 1500, 1480, 1490, 1455, 1455, 1455, 1455, 1455, 1465, 1455, 1455, 1455, 1455, 1455, 2300, 2320, 2320, 2625, 2640, 2320, 2525, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 2625, 2905, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455]",836,41800,85,33.6,22.457142857142856
