episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/update_time_ms,info/num_steps_trained,info/num_steps_sampled,info/WorkerIteration/Worker0,info/significant_weight_updates,perf/cpu_util_percent,perf/ram_util_percent
nan,nan,nan,nan,0,5,50,0,False,0,1,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-08,1618177028,1.0705904960632324,1.0705904960632324,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,1.0705904960632324,0,1,[],[],28.078,1,50,1,5,17.85,13.3
nan,nan,nan,nan,0,5,3400,0,False,0,2,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-13,1618177033,4.997343063354492,6.067933559417725,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,6.067933559417725,0,2,[],[],6.216,68,3400,14,229,28.81428571428572,13.957142857142856
nan,nan,nan,nan,0,5,6750,0,False,0,3,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-18,1618177038,5.089341878890991,11.157275438308716,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,11.157275438308716,0,3,[],[],7.341,135,6750,27,333,27.642857142857146,14.142857142857142
325.0,325.0,325.0,1398.0,1,5,10200,0,False,1,4,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-23,1618177043,5.035351753234863,16.19262719154358,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,16.19262719154358,0,4,[325.0],[1398],7.655,204,10200,41,440,19.487499999999997,14.1
350.0,100.0,205.26315789473685,1976.7368421052631,18,5,13600,0,False,19,5,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-28,1618177048,5.011577844619751,21.20420503616333,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,21.20420503616333,0,5,"[325.0, 125.0, 225.0, 150.0, 200.0, 225.0, 225.0, 250.0, 250.0, 250.0, 250.0, 175.0, 350.0, 125.0, 100.0, 250.0, 125.0, 150.0, 150.0]","[1398, 1970, 1965, 1960, 1965, 2077, 1835, 2085, 2075, 2075, 2080, 2190, 1559, 1985, 1997, 2065, 1989, 2119, 2169]",5.669,272,13600,55,507,21.61428571428571,14.099999999999998
350.0,100.0,205.76923076923077,2022.4615384615386,7,5,17050,0,False,26,6,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-33,1618177053,4.9726433753967285,26.17684841156006,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,26.17684841156006,0,6,"[325.0, 125.0, 225.0, 150.0, 200.0, 225.0, 225.0, 250.0, 250.0, 250.0, 250.0, 175.0, 350.0, 125.0, 100.0, 250.0, 125.0, 150.0, 150.0, 125.0, 150.0, 225.0, 275.0, 250.0, 300.0, 125.0]","[1398, 1970, 1965, 1960, 1965, 2077, 1835, 2085, 2075, 2075, 2080, 2190, 1559, 1985, 1997, 2065, 1989, 2119, 2169, 2194, 2277, 2290, 2405, 2125, 2390, 1345]",5.665,341,17050,69,550,22.514285714285712,14.099999999999998
400.0,100.0,223.4375,1892.5625,6,5,20550,0,False,32,7,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-38,1618177058,5.022932052612305,31.199780464172363,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,31.199780464172363,0,7,"[325.0, 125.0, 225.0, 150.0, 200.0, 225.0, 225.0, 250.0, 250.0, 250.0, 250.0, 175.0, 350.0, 125.0, 100.0, 250.0, 125.0, 150.0, 150.0, 125.0, 150.0, 225.0, 275.0, 250.0, 300.0, 125.0, 275.0, 275.0, 375.0, 300.0, 400.0, 175.0]","[1398, 1970, 1965, 1960, 1965, 2077, 1835, 2085, 2075, 2075, 2080, 2190, 1559, 1985, 1997, 2065, 1989, 2119, 2169, 2194, 2277, 2290, 2405, 2125, 2390, 1345, 1302, 1302, 1302, 1302, 1295, 1475]",6.673,411,20550,83,569,22.22857142857143,14.114285714285712
675.0,100.0,222.54901960784315,1721.2156862745098,19,5,23950,0,False,51,8,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-43,1618177063,5.020135402679443,36.21991586685181,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,36.21991586685181,0,8,"[325.0, 125.0, 225.0, 150.0, 200.0, 225.0, 225.0, 250.0, 250.0, 250.0, 250.0, 175.0, 350.0, 125.0, 100.0, 250.0, 125.0, 150.0, 150.0, 125.0, 150.0, 225.0, 275.0, 250.0, 300.0, 125.0, 275.0, 275.0, 375.0, 300.0, 400.0, 175.0, 375.0, 125.0, 125.0, 125.0, 200.0, 675.0, 325.0, 250.0, 150.0, 225.0, 125.0, 250.0, 250.0, 250.0, 125.0, 125.0, 250.0, 125.0, 125.0]","[1398, 1970, 1965, 1960, 1965, 2077, 1835, 2085, 2075, 2075, 2080, 2190, 1559, 1985, 1997, 2065, 1989, 2119, 2169, 2194, 2277, 2290, 2405, 2125, 2390, 1345, 1302, 1302, 1302, 1302, 1295, 1475, 1302, 1302, 1323, 1369, 1534, 2054, 1205, 1210, 1455, 1452, 1455, 1455, 1455, 1455, 1455, 1455, 1460, 1369, 1455]",6.773,479,23950,97,596,21.87142857142857,14.099999999999998
675.0,100.0,218.10344827586206,1664.6896551724137,7,5,27400,0,False,58,9,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-48,1618177068,4.997399568557739,41.217315435409546,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,41.217315435409546,0,9,"[325.0, 125.0, 225.0, 150.0, 200.0, 225.0, 225.0, 250.0, 250.0, 250.0, 250.0, 175.0, 350.0, 125.0, 100.0, 250.0, 125.0, 150.0, 150.0, 125.0, 150.0, 225.0, 275.0, 250.0, 300.0, 125.0, 275.0, 275.0, 375.0, 300.0, 400.0, 175.0, 375.0, 125.0, 125.0, 125.0, 200.0, 675.0, 325.0, 250.0, 150.0, 225.0, 125.0, 250.0, 250.0, 250.0, 125.0, 125.0, 250.0, 125.0, 125.0, 250.0, 150.0, 150.0, 150.0, 175.0, 175.0, 250.0]","[1398, 1970, 1965, 1960, 1965, 2077, 1835, 2085, 2075, 2075, 2080, 2190, 1559, 1985, 1997, 2065, 1989, 2119, 2169, 2194, 2277, 2290, 2405, 2125, 2390, 1345, 1302, 1302, 1302, 1302, 1295, 1475, 1302, 1302, 1323, 1369, 1534, 2054, 1205, 1210, 1455, 1452, 1455, 1455, 1455, 1455, 1455, 1455, 1460, 1369, 1455, 1210, 1302, 1302, 1302, 1059, 1385, 1210]",6.362,548,27400,111,622,20.375,14.1125
675.0,100.0,227.85714285714286,1611.1142857142856,12,5,30800,0,False,70,10,9c0b0034c1e7415086d83a886f1f18a5,2021-04-11_14-37-53,1618177073,5.025782823562622,46.24309825897217,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,46.24309825897217,0,10,"[325.0, 125.0, 225.0, 150.0, 200.0, 225.0, 225.0, 250.0, 250.0, 250.0, 250.0, 175.0, 350.0, 125.0, 100.0, 250.0, 125.0, 150.0, 150.0, 125.0, 150.0, 225.0, 275.0, 250.0, 300.0, 125.0, 275.0, 275.0, 375.0, 300.0, 400.0, 175.0, 375.0, 125.0, 125.0, 125.0, 200.0, 675.0, 325.0, 250.0, 150.0, 225.0, 125.0, 250.0, 250.0, 250.0, 125.0, 125.0, 250.0, 125.0, 125.0, 250.0, 150.0, 150.0, 150.0, 175.0, 175.0, 250.0, 250.0, 150.0, 325.0, 300.0, 250.0, 325.0, 275.0, 325.0, 250.0, 250.0, 250.0, 350.0]","[1398, 1970, 1965, 1960, 1965, 2077, 1835, 2085, 2075, 2075, 2080, 2190, 1559, 1985, 1997, 2065, 1989, 2119, 2169, 2194, 2277, 2290, 2405, 2125, 2390, 1345, 1302, 1302, 1302, 1302, 1295, 1475, 1302, 1302, 1323, 1369, 1534, 2054, 1205, 1210, 1455, 1452, 1455, 1455, 1455, 1455, 1455, 1455, 1460, 1369, 1455, 1210, 1302, 1302, 1302, 1059, 1385, 1210, 1210, 1299, 1644, 1515, 1342, 1205, 1302, 1302, 1390, 1339, 1339, 1339]",7.252,616,30800,125,642,20.857142857142858,14.12857142857143
