episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,info/WorkerIteration/Worker2,perf/cpu_util_percent,perf/ram_util_percent
nan,nan,nan,nan,0,5,50,0,False,0,1,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-37-20,1618180640,0.576108455657959,0.576108455657959,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,0.576108455657959,0,1,[],[],1,50,1,7.6,13.6
nan,nan,nan,nan,0,5,4300,0,False,0,2,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-37-25,1618180645,5.0019707679748535,5.5780792236328125,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,5.5780792236328125,0,2,[],[],86,4300,17,24.742857142857144,14.285714285714288
250.0,0.0,42.30769230769231,1224.3076923076924,13,5,7950,0,False,13,3,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-37-30,1618180650,5.038725137710571,10.616804361343384,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,10.616804361343384,0,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1133, 1153, 1133, 1138, 1138, 1352, 1342, 1367, 1234, 1234, 1234, 1239, 1219]",159,7950,31,22.5625,14.5125
250.0,0.0,80.0,1356.15,7,5,12400,0,False,20,4,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-37-36,1618180656,5.295662879943848,15.912467241287231,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,15.912467241287231,0,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0]","[1133, 1153, 1133, 1138, 1138, 1352, 1342, 1367, 1234, 1234, 1234, 1239, 1219, 1640, 1650, 1680, 1695, 1680, 1367, 1495]",248,12400,50,24.928571428571434,14.585714285714285
250.0,0.0,70.39473684210526,1446.9473684210527,18,5,16500,0,False,38,5,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-37-41,1618180661,5.140909433364868,21.0533766746521,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,21.0533766746521,0,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1133, 1153, 1133, 1138, 1138, 1352, 1342, 1367, 1234, 1234, 1234, 1239, 1219, 1640, 1650, 1680, 1695, 1680, 1367, 1495, 2505, 2525, 2515, 2525, 2525, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159]",330,16500,67,25.825000000000003,14.587499999999999
250.0,0.0,86.22448979591837,1421.1836734693877,11,5,20600,0,False,49,6,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-37-46,1618180666,4.890385389328003,25.943762063980103,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,25.943762063980103,0,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0]","[1133, 1153, 1133, 1138, 1138, 1352, 1342, 1367, 1234, 1234, 1234, 1239, 1219, 1640, 1650, 1680, 1695, 1680, 1367, 1495, 2505, 2525, 2515, 2525, 2525, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1302, 1302, 1302, 1302, 1302, 1385, 1385, 1385, 1385, 1302, 1302]",412,20600,85,24.514285714285712,14.599999999999998
250.0,0.0,98.01587301587301,1383.952380952381,14,5,24450,0,False,63,7,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-37-51,1618180671,5.057488918304443,31.001250982284546,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,31.001250982284546,0,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1133, 1153, 1133, 1138, 1138, 1352, 1342, 1367, 1234, 1234, 1234, 1239, 1219, 1640, 1650, 1680, 1695, 1680, 1367, 1495, 2505, 2525, 2515, 2525, 2525, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1302, 1302, 1302, 1302, 1302, 1385, 1385, 1385, 1385, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1385, 1302, 1302, 1302, 1150, 1150, 1150, 1150, 1150]",489,24450,100,23.41428571428571,14.599999999999998
250.0,0.0,104.51388888888889,1373.7083333333333,9,5,28200,0,False,72,8,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-37-56,1618180676,5.00727105140686,36.008522033691406,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,36.008522033691406,0,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0]","[1133, 1153, 1133, 1138, 1138, 1352, 1342, 1367, 1234, 1234, 1234, 1239, 1219, 1640, 1650, 1680, 1695, 1680, 1367, 1495, 2505, 2525, 2515, 2525, 2525, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1302, 1302, 1302, 1302, 1302, 1385, 1385, 1385, 1385, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1385, 1302, 1302, 1302, 1150, 1150, 1150, 1150, 1150, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302]",564,28200,115,22.585714285714285,14.599999999999998
250.0,0.0,112.7840909090909,1360.6704545454545,16,5,32000,0,False,88,9,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-38-01,1618180681,5.082693576812744,41.09121561050415,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,41.09121561050415,0,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0]","[1133, 1153, 1133, 1138, 1138, 1352, 1342, 1367, 1234, 1234, 1234, 1239, 1219, 1640, 1650, 1680, 1695, 1680, 1367, 1495, 2505, 2525, 2515, 2525, 2525, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1302, 1302, 1302, 1302, 1302, 1385, 1385, 1385, 1385, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1385, 1302, 1302, 1302, 1150, 1150, 1150, 1150, 1150, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302]",640,32000,130,23.157142857142855,14.599999999999998
250.0,0.0,116.23711340206185,1355.2268041237114,9,5,36050,0,False,97,10,97b2ab2d1db341f4ae77d639edaafc77,2021-04-11_15-38-06,1618180686,5.2320311069488525,46.323246717453,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,46.323246717453,0,10,"[0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 250.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0]","[1133, 1153, 1133, 1138, 1138, 1352, 1342, 1367, 1234, 1234, 1234, 1239, 1219, 1640, 1650, 1680, 1695, 1680, 1367, 1495, 2505, 2525, 2515, 2525, 2525, 1113, 1113, 1113, 1113, 1113, 1302, 1302, 1302, 1159, 1159, 1159, 1159, 1159, 1302, 1302, 1302, 1302, 1302, 1385, 1385, 1385, 1385, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1385, 1302, 1302, 1302, 1150, 1150, 1150, 1150, 1150, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302]",721,36050,147,21.5875,14.6
