episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0
nan,nan,nan,nan,0,5,50,False,0,1,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-48-48,1614959328,0.3235952854156494,0.3235952854156494,2772225,drake-min,10.0.0.130,0.3235952854156494,0,1,[],[],1,50,29.0,28.7,0.27,0.08314522197140707
150.0,0.0,42.04545454545455,1249.7272727272727,22,5,9150,False,22,2,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-48-53,1614959333,5.033720970153809,5.357316255569458,2772225,drake-min,10.0.0.130,5.357316255569458,0,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 150.0, 150.0]","[1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1303, 1493, 1493]",183,9150,66.18571428571428,30.22857142857143,0.14714285714285716,0.08314522197140707
150.0,0.0,69.18604651162791,1322.7209302325582,21,5,18200,False,43,3,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-48-58,1614959338,4.974860668182373,10.332176923751831,2772225,drake-min,10.0.0.130,10.332176923751831,0,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 150.0, 150.0]","[1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1493, 1795, 1385, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1303, 1493, 1493]",364,18200,64.10000000000001,30.583333333333332,0.17666666666666667,0.08314522197140707
150.0,0.0,71.32352941176471,1414.8088235294117,25,5,27200,False,68,4,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-49-03,1614959343,5.034983158111572,15.367160081863403,2772225,drake-min,10.0.0.130,15.367160081863403,0,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0]","[2342, 2342, 2342, 2342, 2342, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1303, 1493, 1493, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1493, 1795, 1385, 1455, 1455, 1455]",544,27200,69.17142857142858,30.728571428571424,0.2,0.08314522197140707
150.0,0.0,84.44444444444444,1424.6333333333334,22,5,36450,False,90,5,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-49-08,1614959348,5.079387664794922,20.446547746658325,2772225,drake-min,10.0.0.130,20.446547746658325,0,5,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1303, 1493, 1493, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1493, 1795, 1385, 1455, 1455, 1455, 2342, 2342, 2342, 2342, 2342, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455]",729,36450,66.45,30.666666666666668,0.17833333333333334,0.08314522197140707
150.0,0.0,101.0,1549.12,24,5,45400,False,114,6,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-49-13,1614959353,5.056128978729248,25.502676725387573,2772225,drake-min,10.0.0.130,25.502676725387573,0,6,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[3270, 3300, 3295, 3275, 3320, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1303, 1493, 1493, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1493, 1795, 1385, 1455, 1455, 1455, 2342, 2342, 2342, 2342, 2342, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455]",908,45400,66.9857142857143,30.78571428571429,0.16142857142857145,0.08314522197140707
125.0,0.0,112.5,1576.4,26,5,54300,False,140,7,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-49-18,1614959358,5.013460397720337,30.51613712310791,2772225,drake-min,10.0.0.130,30.51613712310791,0,7,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 2342, 2342, 2342, 2342, 2342, 1159, 1159, 1159, 1159, 1159, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 3270, 3300, 3295, 3275, 3320, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455]",1086,54300,68.72857142857143,30.900000000000002,0.25285714285714284,0.08314522197140707
125.0,125.0,125.0,1546.85,25,5,63200,False,165,8,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-49-23,1614959363,5.047494173049927,35.56363129615784,2772225,drake-min,10.0.0.130,35.56363129615784,0,8,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 3270, 3300, 3295, 3275, 3320, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455]",1264,63200,67.98333333333333,30.866666666666664,0.25000000000000006,0.08314522197140707
125.0,0.0,122.5,1485.01,27,5,72250,False,192,9,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-49-28,1614959368,5.021112680435181,40.58474397659302,2772225,drake-min,10.0.0.130,40.58474397659302,0,9,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1219, 1219, 1219, 1219, 1219, 1323, 1323, 1323, 1323, 1323, 1113, 1113, 1455, 1455, 1455, 1455, 1455, 3295, 3275, 3320, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455]",1445,72250,66.01428571428572,30.842857142857145,0.2,0.08314522197140707
150.0,0.0,104.75,1364.95,35,5,81450,False,227,10,e49ff329f3084123bdf36392f849ba07,2021-03-05_10-49-33,1614959373,5.008677959442139,45.593421936035156,2772225,drake-min,10.0.0.130,45.593421936035156,0,10,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1302, 1455, 1455, 1455, 1455, 1455, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1159, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1455, 1219, 1219, 1219, 1219, 1219, 1323, 1323, 1323, 1323, 1323, 1113, 1113, 1455, 1455, 1455, 1455, 1455]",1629,81450,65.28333333333332,30.8,0.11,0.08314522197140707
